season,event_date,nano,market,name,alias,rush_att,rush_yds,rush_tds,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_tds,pass_int,passer_rating,net_pass_yds,total_yds,times_sacked,yds_sacked_for,fumbles,fumbles_lost,turnovers,penalties,penalty_yds,first_downs,third_down_conv,third_down_att,third_down_conv_pct,fourth_down_conv,fourth_down_att,fourth_down_conv_pct,time_of_possession,boxscore_stats_link
2009,2009-09-10,ltMyRE3yvVUaw,Tennessee,Titans,TEN,25,86,0,22,35,,244,1,1,81.131,234,320,1,10,2,1,2,5,28,18,4,13,0.308,0,0,0.0,1701,https://www.pro-football-reference.com/boxscores/200909100pit.htm
2009,2009-09-10,SlVgURDFI7EXX,Pittsburgh,Steelers,PIT,23,36,0,33,43,,363,1,2,89.583,321,357,4,42,1,1,3,6,60,19,4,14,0.286,0,0,0.0,2171,https://www.pro-football-reference.com/boxscores/200909100pit.htm
2009,2009-09-13,6DclFuycdPaOB,Denver,Broncos,DEN,20,75,0,17,28,,243,1,0,100.744,227,302,3,16,1,0,0,6,39,10,3,12,0.25,0,0,0.0,1593,https://www.pro-football-reference.com/boxscores/200909130cin.htm
2009,2009-09-13,22ZdibiqvfA2D,Cincinnati,Bengals,CIN,27,86,1,21,33,,247,0,2,61.048,221,307,3,26,1,0,2,4,27,16,5,15,0.333,1,2,0.5,2007,https://www.pro-football-reference.com/boxscores/200909130cin.htm
2009,2009-09-13,RtOjnciWkJPaL,Jacksonville,Jaguars,JAC,26,114,1,14,28,,122,0,0,61.905,114,228,1,8,0,0,0,3,24,12,6,15,0.4,1,2,0.5,1564,https://www.pro-football-reference.com/boxscores/200909130clt.htm
2009,2009-09-13,LJmHetie5VbbO,Indianapolis,Colts,IND,31,71,1,28,38,,301,1,1,94.298,294,365,1,7,1,1,2,3,17,21,8,14,0.571,0,2,0.0,2036,https://www.pro-football-reference.com/boxscores/200909130clt.htm
2009,2009-09-13,oiGiwWPf0UqMC,Kansas City,Chiefs,KC,17,29,0,16,24,,177,2,0,116.146,159,188,3,18,2,0,0,3,15,11,2,10,0.2,1,2,0.5,1211,https://www.pro-football-reference.com/boxscores/200909130rav.htm
2009,2009-09-13,zyhFXj1nywrm1,Baltimore,Ravens,BAL,41,198,2,26,43,,307,3,1,95.785,303,501,1,4,1,0,1,8,65,32,10,17,0.588,1,1,1.0,2389,https://www.pro-football-reference.com/boxscores/200909130rav.htm
2009,2009-09-13,AzOs5UWsXusSW,Minnesota,Vikings,MIN,37,225,3,14,22,,110,1,0,91.098,85,310,4,25,0,0,0,3,38,19,6,14,0.429,0,0,0.0,2002,https://www.pro-football-reference.com/boxscores/200909130cle.htm
2009,2009-09-13,IR4gIYmh269EI,Cleveland,Browns,CLE,20,89,0,21,35,,205,1,1,74.107,179,268,5,26,3,1,2,8,66,17,3,12,0.25,0,1,0.0,1598,https://www.pro-football-reference.com/boxscores/200909130cle.htm
2009,2009-09-13,KdjU81i7YSFE7,Dallas,Cowboys,DAL,24,118,1,16,27,,353,3,0,140.586,344,462,1,9,1,0,0,4,41,18,3,10,0.3,0,0,0.0,1588,https://www.pro-football-reference.com/boxscores/200909130tam.htm
2009,2009-09-13,QMAZH1v922YLu,Tampa Bay,Buccaneers,TB,31,174,2,25,42,,276,1,0,87.004,276,450,0,0,2,0,0,4,20,26,5,13,0.385,1,2,0.5,2012,https://www.pro-football-reference.com/boxscores/200909130tam.htm
2009,2009-09-13,FCuH1wdksA2DQ,Detroit,Lions,DET,20,33,2,16,37,,205,0,3,27.421,198,231,1,7,0,0,3,8,80,14,3,14,0.214,2,2,1.0,1410,https://www.pro-football-reference.com/boxscores/200909130nor.htm
2009,2009-09-13,CI5mhfNa0Zqd2,New Orleans,Saints,NO,35,157,0,26,34,,358,6,1,137.01,358,515,0,0,3,2,3,7,36,28,9,13,0.692,0,0,0.0,2190,https://www.pro-football-reference.com/boxscores/200909130nor.htm
2009,2009-09-13,mexvMWO2v1hWn,New York,Jets,NYJ,42,190,2,18,31,,272,1,1,84.341,272,462,0,0,2,0,1,10,80,22,10,18,0.556,2,2,1.0,2326,https://www.pro-football-reference.com/boxscores/200909130htx.htm
2009,2009-09-13,UI0Ax4HUEXFh6,Houston,Texans,HOU,13,38,0,18,33,,166,0,1,55.871,145,183,2,21,2,1,2,6,37,11,3,10,0.3,0,1,0.0,1274,https://www.pro-football-reference.com/boxscores/200909130htx.htm
2009,2009-09-13,hjjmgzxilGWdr,Philadelphia,Eagles,PHI,32,185,1,17,29,,102,2,1,74.21,82,267,2,20,2,1,2,9,76,17,5,13,0.385,1,2,0.5,1897,https://www.pro-football-reference.com/boxscores/200909130car.htm
2009,2009-09-13,jJBGuksuDJF5L,Carolina,Panthers,CAR,30,86,1,14,34,,138,0,5,13.725,83,169,5,55,2,2,7,5,30,14,3,16,0.188,2,3,0.667,1703,https://www.pro-football-reference.com/boxscores/200909130car.htm
2009,2009-09-13,mfbu6O5aMHbJg,Miami,Dolphins,MIA,22,96,0,21,30,,176,1,1,82.083,163,259,4,13,3,3,4,4,27,16,4,11,0.364,1,1,1.0,1747,https://www.pro-football-reference.com/boxscores/200909130atl.htm
2009,2009-09-13,mLspw4gJNTQGN,Atlanta,Falcons,ATL,27,68,0,22,36,,229,2,0,98.032,213,281,2,16,1,0,0,4,35,19,6,15,0.4,0,0,0.0,1853,https://www.pro-football-reference.com/boxscores/200909130atl.htm
2009,2009-09-13,IwSI92ZDKoazn,San Francisco,49ers,SF,25,21,1,18,31,,209,1,0,89.315,182,203,4,27,1,1,1,4,31,13,7,18,0.389,0,0,0.0,1897,https://www.pro-football-reference.com/boxscores/200909130crd.htm
2009,2009-09-13,GJizlkzQFaqGA,Arizona,Cardinals,ARI,17,40,0,26,44,,288,1,2,67.235,259,299,3,29,1,0,2,12,82,17,4,14,0.286,0,1,0.0,1703,https://www.pro-football-reference.com/boxscores/200909130crd.htm
2009,2009-09-13,9JtBk8kFeaGEs,Washington,Football Team,WAS,21,85,1,19,26,,211,1,1,93.59,187,272,3,24,3,1,2,4,32,15,5,12,0.417,1,1,1.0,1432,https://www.pro-football-reference.com/boxscores/200909130nyg.htm
2009,2009-09-13,n8CuHV9wbYCqF,New York,Giants,NYG,31,103,0,20,29,,256,1,1,93.463,248,351,1,8,2,1,2,4,30,18,6,13,0.462,0,1,0.0,2168,https://www.pro-football-reference.com/boxscores/200909130nyg.htm
2009,2009-09-13,u98I1lDKQBwZ0,Los Angeles,Rams,LA,18,77,0,17,36,,191,0,0,63.542,170,247,3,21,2,1,1,10,85,13,2,12,0.167,0,1,0.0,1653,https://www.pro-football-reference.com/boxscores/200909130sea.htm
2009,2009-09-13,4M8AK5p0WXs1N,Seattle,Seahawks,SEA,34,167,1,25,36,,279,3,2,96.875,279,446,0,0,2,1,3,4,25,25,8,15,0.533,0,0,0.0,1947,https://www.pro-football-reference.com/boxscores/200909130sea.htm
2009,2009-09-13,1vVmWGzUZ1rea,Chicago,Bears,CHI,31,86,0,17,36,,277,1,4,43.171,266,352,2,11,0,0,4,3,25,18,4,15,0.267,1,3,0.333,1983,https://www.pro-football-reference.com/boxscores/200909130gnb.htm
2009,2009-09-13,D5QY6bOxfn8ZL,Green Bay,Packers,GB,22,76,1,17,28,,184,1,0,91.964,150,226,4,34,0,0,0,6,45,12,4,14,0.286,0,0,0.0,1617,https://www.pro-football-reference.com/boxscores/200909130gnb.htm
2009,2009-09-14,3VqeLK0LS9rpw,Buffalo,Bills,BUF,19,90,0,15,25,,212,2,0,114.083,186,276,4,26,3,1,1,9,71,17,4,10,0.4,1,1,1.0,1372,https://www.pro-football-reference.com/boxscores/200909140nwe.htm
2009,2009-09-14,VkxV91RtzHn65,New England,Patriots,NE,23,73,1,39,53,,378,2,1,97.838,368,441,1,10,0,0,1,6,55,28,10,16,0.625,0,2,0.0,2228,https://www.pro-football-reference.com/boxscores/200909140nwe.htm
2009,2009-09-14,SjaMbkmeizJD4,Los Angeles,Chargers,LAC,23,77,2,24,36,,252,1,1,84.491,240,317,3,12,2,1,2,9,60,19,5,12,0.417,0,0,0.0,1703,https://www.pro-football-reference.com/boxscores/200909140rai.htm
2009,2009-09-14,LZoDld8s63xUs,Las Vegas,Raiders,LV,32,148,1,14,32,,225,1,2,52.214,218,366,1,7,1,1,3,6,40,19,7,14,0.5,1,1,1.0,1897,https://www.pro-football-reference.com/boxscores/200909140rai.htm
2009,2009-09-20,LZoDld8s63xUs,Las Vegas,Raiders,LV,25,67,1,7,24,,109,0,0,46.007,99,166,2,10,2,0,0,7,45,11,3,13,0.231,0,0,0.0,1281,https://www.pro-football-reference.com/boxscores/200909200kan.htm
