season,event_date,nano,market,name,alias,rush_att,rush_yds,rush_tds,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_tds,pass_int,passer_rating,net_pass_yds,total_yds,times_sacked,yds_sacked_for,fumbles,fumbles_lost,turnovers,penalties,penalty_yds,first_downs,third_down_conv,third_down_att,third_down_conv_pct,fourth_down_conv,fourth_down_att,fourth_down_conv_pct,time_of_possession,boxscore_stats_link
2009,2009-09-20,oiGiwWPf0UqMC,Kansas City,Chiefs,KC,38,173,0,24,39,,241,1,2,66.293,236,409,2,5,1,0,2,9,70,25,5,15,0.333,2,3,0.667,2319,https://www.pro-football-reference.com/boxscores/200909200kan.htm
2009,2009-09-20,jJBGuksuDJF5L,Carolina,Panthers,CAR,25,144,1,25,41,,308,1,1,82.165,296,440,1,12,2,1,2,6,35,24,7,12,0.583,0,1,0.0,1708,https://www.pro-football-reference.com/boxscores/200909200atl.htm
2009,2009-09-20,mLspw4gJNTQGN,Atlanta,Falcons,ATL,37,151,1,21,27,,220,3,1,122.222,220,371,0,0,1,1,2,6,40,23,6,12,0.5,2,2,1.0,1892,https://www.pro-football-reference.com/boxscores/200909200atl.htm
2009,2009-09-20,22ZdibiqvfA2D,Cincinnati,Bengals,CIN,34,151,1,15,23,,185,3,2,93.297,168,319,2,17,2,0,2,13,100,19,9,14,0.643,0,0,0.0,2028,https://www.pro-football-reference.com/boxscores/200909200gnb.htm
2009,2009-09-20,D5QY6bOxfn8ZL,Green Bay,Packers,GB,18,89,1,21,39,,261,1,0,83.387,222,311,6,39,2,1,1,11,76,22,6,13,0.462,0,0,0.0,1572,https://www.pro-football-reference.com/boxscores/200909200gnb.htm
2009,2009-09-20,VkxV91RtzHn65,New England,Patriots,NE,20,83,0,23,47,,216,0,1,53.147,216,299,0,0,0,0,1,11,89,18,5,15,0.333,0,1,0.0,1850,https://www.pro-football-reference.com/boxscores/200909200nyj.htm
2009,2009-09-20,mexvMWO2v1hWn,New York,Jets,NYJ,31,117,0,14,22,,163,1,0,101.136,137,254,2,26,2,1,1,8,55,14,3,11,0.273,0,0,0.0,1750,https://www.pro-football-reference.com/boxscores/200909200nyj.htm
2009,2009-09-20,u98I1lDKQBwZ0,Los Angeles,Rams,LA,21,126,0,15,28,,125,1,0,77.232,119,245,1,6,2,1,1,6,45,14,6,12,0.5,0,1,0.0,1507,https://www.pro-football-reference.com/boxscores/200909200was.htm
2009,2009-09-20,9JtBk8kFeaGEs,Washington,Football Team,WAS,33,125,0,23,36,,242,0,0,83.333,237,362,1,5,2,1,1,5,35,21,7,15,0.467,1,2,0.5,2093,https://www.pro-football-reference.com/boxscores/200909200was.htm
2009,2009-09-20,GJizlkzQFaqGA,Arizona,Cardinals,ARI,28,118,1,27,32,,265,2,0,122.005,265,383,0,0,5,2,2,7,58,22,2,9,0.222,1,1,1.0,1881,https://www.pro-football-reference.com/boxscores/200909200jax.htm
2009,2009-09-20,RtOjnciWkJPaL,Jacksonville,Jaguars,JAC,20,92,0,23,43,,282,2,1,79.797,275,367,4,7,4,2,3,8,50,18,6,16,0.375,1,2,0.5,1719,https://www.pro-football-reference.com/boxscores/200909200jax.htm
2009,2009-09-20,AzOs5UWsXusSW,Minnesota,Vikings,MIN,25,112,1,24,28,,169,2,0,115.625,153,265,3,16,2,1,1,5,43,18,3,11,0.273,1,1,1.0,1775,https://www.pro-football-reference.com/boxscores/200909200det.htm
2009,2009-09-20,FCuH1wdksA2DQ,Detroit,Lions,DET,34,129,0,18,30,,152,1,2,56.528,136,265,2,16,2,1,3,6,45,17,5,13,0.385,2,2,1.0,1825,https://www.pro-football-reference.com/boxscores/200909200det.htm
2009,2009-09-20,UI0Ax4HUEXFh6,Houston,Texans,HOU,29,63,0,25,39,,357,4,0,127.831,357,420,0,0,2,0,0,6,40,19,5,16,0.312,2,2,1.0,2043,https://www.pro-football-reference.com/boxscores/200909200oti.htm
2009,2009-09-20,ltMyRE3yvVUaw,Tennessee,Titans,TEN,25,240,2,21,33,,216,2,1,89.962,209,449,2,7,3,1,2,8,64,19,5,11,0.455,0,1,0.0,1557,https://www.pro-football-reference.com/boxscores/200909200oti.htm
2009,2009-09-20,CI5mhfNa0Zqd2,New Orleans,Saints,NO,29,133,2,25,34,,311,3,1,118.627,288,421,2,23,2,0,1,3,13,23,6,13,0.462,0,1,0.0,1826,https://www.pro-football-reference.com/boxscores/200909200phi.htm
2009,2009-09-20,hjjmgzxilGWdr,Philadelphia,Eagles,PHI,22,79,0,31,52,,391,2,3,71.875,384,463,1,7,1,1,4,7,45,23,7,16,0.438,1,2,0.5,1774,https://www.pro-football-reference.com/boxscores/200909200phi.htm
2009,2009-09-20,QMAZH1v922YLu,Tampa Bay,Buccaneers,TB,19,57,0,26,50,,296,3,2,73.417,296,353,2,0,1,0,2,13,112,19,4,16,0.25,3,4,0.75,1827,https://www.pro-football-reference.com/boxscores/200909200buf.htm
2009,2009-09-20,3VqeLK0LS9rpw,Buffalo,Bills,BUF,35,218,0,21,31,,230,2,1,97.513,220,438,2,10,1,1,2,7,55,25,4,12,0.333,1,1,1.0,1773,https://www.pro-football-reference.com/boxscores/200909200buf.htm
2009,2009-09-20,4M8AK5p0WXs1N,Seattle,Seahawks,SEA,23,66,0,25,41,,224,1,1,73.628,217,283,1,7,2,0,1,6,45,19,4,14,0.286,1,2,0.5,1529,https://www.pro-football-reference.com/boxscores/200909200sfo.htm
2009,2009-09-20,IwSI92ZDKoazn,San Francisco,49ers,SF,29,256,2,19,27,,144,0,0,82.948,123,379,4,21,2,0,0,6,54,16,5,15,0.333,0,0,0.0,2071,https://www.pro-football-reference.com/boxscores/200909200sfo.htm
2009,2009-09-20,SlVgURDFI7EXX,Pittsburgh,Steelers,PIT,22,105,1,23,35,,221,1,1,80.774,203,308,2,18,2,1,2,6,52,21,6,12,0.5,1,1,1.0,1826,https://www.pro-football-reference.com/boxscores/200909200chi.htm
2009,2009-09-20,1vVmWGzUZ1rea,Chicago,Bears,CHI,17,44,0,27,38,,236,2,0,104.715,231,275,2,5,1,0,0,10,80,17,7,14,0.5,0,0,0.0,1774,https://www.pro-football-reference.com/boxscores/200909200chi.htm
2009,2009-09-20,IR4gIYmh269EI,Cleveland,Browns,CLE,21,54,0,18,31,,161,0,1,58.669,146,200,4,15,2,2,3,4,43,11,3,14,0.214,0,0,0.0,1636,https://www.pro-football-reference.com/boxscores/200909200den.htm
2009,2009-09-20,6DclFuycdPaOB,Denver,Broncos,DEN,37,186,2,19,37,,263,1,0,83.502,263,449,0,0,1,1,1,5,50,25,8,15,0.533,0,1,0.0,1964,https://www.pro-football-reference.com/boxscores/200909200den.htm
2009,2009-09-20,zyhFXj1nywrm1,Baltimore,Ravens,BAL,32,130,2,18,27,,190,2,1,96.219,181,311,1,9,2,0,1,4,32,22,4,11,0.364,0,0,0.0,1721,https://www.pro-football-reference.com/boxscores/200909200sdg.htm
2009,2009-09-20,SjaMbkmeizJD4,Los Angeles,Chargers,LAC,21,53,0,25,45,,436,2,2,85.046,421,474,2,15,1,0,2,12,85,20,7,16,0.438,1,2,0.5,1879,https://www.pro-football-reference.com/boxscores/200909200sdg.htm
2009,2009-09-20,n8CuHV9wbYCqF,New York,Giants,NYG,26,97,0,25,38,,330,2,0,110.636,330,427,0,0,0,0,0,4,40,19,6,15,0.4,0,0,0.0,2089,https://www.pro-football-reference.com/boxscores/200909200dal.htm
2009,2009-09-20,KdjU81i7YSFE7,Dallas,Cowboys,DAL,29,251,3,13,29,,127,1,3,29.598,127,378,0,0,1,1,4,4,50,23,6,11,0.545,0,0,0.0,1511,https://www.pro-football-reference.com/boxscores/200909200dal.htm
2009,2009-09-21,LJmHetie5VbbO,Indianapolis,Colts,IND,11,61,1,14,23,,303,2,0,133.877,295,356,1,8,0,0,0,4,20,14,3,7,0.429,0,0,0.0,893,https://www.pro-football-reference.com/boxscores/200909210mia.htm
2009,2009-09-21,mfbu6O5aMHbJg,Miami,Dolphins,MIA,49,239,2,22,33,,183,0,1,68.119,164,403,2,19,1,0,1,4,20,27,15,21,0.714,1,1,1.0,2707,https://www.pro-football-reference.com/boxscores/200909210mia.htm
2009,2009-09-27,D5QY6bOxfn8ZL,Green Bay,Packers,GB,37,152,2,13,23,,269,2,0,126.902,250,402,2,19,0,0,0,6,51,24,2,9,0.222,0,0,0.0,1819,https://www.pro-football-reference.com/boxscores/200909270ram.htm
2009,2009-09-27,u98I1lDKQBwZ0,Los Angeles,Rams,LA,33,149,0,19,35,,187,2,1,76.726,187,336,1,0,2,2,3,6,40,22,4,14,0.286,1,2,0.5,1781,https://www.pro-football-reference.com/boxscores/200909270ram.htm
2009,2009-09-27,n8CuHV9wbYCqF,New York,Giants,NYG,49,226,1,16,27,,171,2,0,102.546,171,397,0,0,0,0,0,5,60,27,10,16,0.625,0,0,0.0,2618,https://www.pro-football-reference.com/boxscores/200909270tam.htm
2009,2009-09-27,QMAZH1v922YLu,Tampa Bay,Buccaneers,TB,10,28,0,11,26,,58,0,1,33.814,58,86,0,0,0,0,1,5,25,5,0,9,0.0,1,2,0.5,982,https://www.pro-football-reference.com/boxscores/200909270tam.htm
2009,2009-09-27,mLspw4gJNTQGN,Atlanta,Falcons,ATL,17,58,1,17,28,,199,0,0,82.292,199,257,0,0,2,1,1,7,54,13,2,9,0.222,1,1,1.0,1211,https://www.pro-football-reference.com/boxscores/200909270nwe.htm
2009,2009-09-27,VkxV91RtzHn65,New England,Patriots,NE,39,168,1,25,42,,277,1,0,87.103,277,445,0,0,0,0,0,2,10,28,8,18,0.444,3,3,1.0,2389,https://www.pro-football-reference.com/boxscores/200909270nwe.htm
2009,2009-09-27,IR4gIYmh269EI,Cleveland,Browns,CLE,23,71,0,17,27,,126,0,4,34.414,115,186,2,11,0,0,4,5,46,11,3,12,0.25,0,0,0.0,1722,https://www.pro-football-reference.com/boxscores/200909270rav.htm
2009,2009-09-27,zyhFXj1nywrm1,Baltimore,Ravens,BAL,28,142,3,26,37,,346,1,0,108.615,337,479,1,9,1,1,1,8,84,28,4,11,0.364,1,1,1.0,1878,https://www.pro-football-reference.com/boxscores/200909270rav.htm
2009,2009-09-27,9JtBk8kFeaGEs,Washington,Football Team,WAS,14,65,0,27,41,,340,2,1,97.612,325,390,2,15,2,0,1,9,97,22,2,10,0.2,1,2,0.5,1392,https://www.pro-football-reference.com/boxscores/200909270det.htm
2009,2009-09-27,FCuH1wdksA2DQ,Detroit,Lions,DET,36,154,1,21,36,,241,1,0,87.847,227,381,2,14,1,0,0,8,58,23,10,18,0.556,0,0,0.0,2208,https://www.pro-football-reference.com/boxscores/200909270det.htm
2009,2009-09-27,oiGiwWPf0UqMC,Kansas City,Chiefs,KC,29,99,0,15,19,,116,2,0,127.193,97,196,3,19,2,1,1,10,90,11,0,11,0.0,2,2,1.0,1765,https://www.pro-football-reference.com/boxscores/200909270phi.htm
2009,2009-09-27,hjjmgzxilGWdr,Philadelphia,Eagles,PHI,27,93,2,24,36,,327,2,0,114.005,327,420,0,0,2,1,1,3,20,21,6,13,0.462,0,1,0.0,1835,https://www.pro-football-reference.com/boxscores/200909270phi.htm
2009,2009-09-27,RtOjnciWkJPaL,Jacksonville,Jaguars,JAC,32,185,4,18,30,,214,0,0,81.806,214,399,0,0,1,1,1,5,40,24,5,11,0.455,1,1,1.0,1852,https://www.pro-football-reference.com/boxscores/200909270htx.htm
2009,2009-09-27,UI0Ax4HUEXFh6,Houston,Texans,HOU,22,111,0,26,35,,300,3,1,116.369,286,397,2,14,1,1,2,5,60,23,4,10,0.4,1,1,1.0,1748,https://www.pro-football-reference.com/boxscores/200909270htx.htm
2009,2009-09-27,IwSI92ZDKoazn,San Francisco,49ers,SF,26,58,0,15,25,,195,2,1,94.583,188,246,1,7,1,0,1,7,60,13,0,11,0.0,1,1,1.0,1671,https://www.pro-football-reference.com/boxscores/200909270min.htm
2009,2009-09-27,AzOs5UWsXusSW,Minnesota,Vikings,MIN,27,94,0,24,46,,301,2,1,78.261,283,377,2,18,1,0,1,9,52,19,10,20,0.5,0,1,0.0,1929,https://www.pro-football-reference.com/boxscores/200909270min.htm
2009,2009-09-27,ltMyRE3yvVUaw,Tennessee,Titans,TEN,30,127,1,15,37,,170,1,2,41.498,159,286,2,11,2,2,4,3,15,17,4,14,0.286,0,2,0.0,1642,https://www.pro-football-reference.com/boxscores/200909270nyj.htm
2009,2009-09-27,mexvMWO2v1hWn,New York,Jets,NYJ,31,83,1,17,30,,171,2,1,81.389,146,229,3,25,2,1,2,3,25,13,4,16,0.25,0,0,0.0,1958,https://www.pro-football-reference.com/boxscores/200909270nyj.htm
2009,2009-09-27,CI5mhfNa0Zqd2,New Orleans,Saints,NO,38,222,3,16,29,,172,0,0,72.773,156,378,2,16,1,1,1,9,97,21,5,15,0.333,1,2,0.5,2014,https://www.pro-football-reference.com/boxscores/200909270buf.htm
2009,2009-09-27,3VqeLK0LS9rpw,Buffalo,Bills,BUF,21,89,0,21,36,,181,1,1,69.329,154,243,4,27,1,1,2,12,116,13,2,14,0.143,1,2,0.5,1586,https://www.pro-football-reference.com/boxscores/200909270buf.htm
2009,2009-09-27,1vVmWGzUZ1rea,Chicago,Bears,CHI,28,85,0,21,27,,247,3,1,126.389,233,318,2,14,3,1,2,6,60,14,4,12,0.333,1,1,1.0,1824,https://www.pro-football-reference.com/boxscores/200909270sea.htm
2009,2009-09-27,4M8AK5p0WXs1N,Seattle,Seahawks,SEA,28,103,0,26,44,,261,1,1,74.148,243,346,3,18,2,1,2,4,45,19,7,17,0.412,1,2,0.5,1776,https://www.pro-football-reference.com/boxscores/200909270sea.htm
2009,2009-09-27,SlVgURDFI7EXX,Pittsburgh,Steelers,PIT,28,102,1,22,31,,276,1,1,95.632,271,373,1,5,0,0,1,5,51,17,6,12,0.5,0,1,0.0,2082,https://www.pro-football-reference.com/boxscores/200909270cin.htm
2009,2009-09-27,22ZdibiqvfA2D,Cincinnati,Bengals,CIN,19,100,1,20,37,,183,1,0,76.745,173,273,2,10,0,0,0,4,30,19,3,12,0.25,3,3,1.0,1518,https://www.pro-football-reference.com/boxscores/200909270cin.htm
2009,2009-09-27,6DclFuycdPaOB,Denver,Broncos,DEN,45,215,1,13,23,,157,1,0,92.12,157,372,0,0,1,1,1,5,30,21,5,12,0.417,1,2,0.5,2175,https://www.pro-football-reference.com/boxscores/200909270rai.htm
2009,2009-09-27,LZoDld8s63xUs,Las Vegas,Raiders,LV,23,95,0,12,21,,61,0,2,22.619,42,137,3,19,3,1,3,6,53,9,3,10,0.3,1,2,0.5,1425,https://www.pro-football-reference.com/boxscores/200909270rai.htm
2009,2009-09-27,mfbu6O5aMHbJg,Miami,Dolphins,MIA,31,149,1,18,31,,146,0,1,56.653,140,289,1,6,1,1,2,7,39,19,5,12,0.417,1,1,1.0,1947,https://www.pro-football-reference.com/boxscores/200909270sdg.htm
2009,2009-09-27,SjaMbkmeizJD4,Los Angeles,Chargers,LAC,28,69,1,18,33,,303,0,0,85.795,286,355,2,17,1,1,1,3,20,19,7,14,0.5,0,1,0.0,1653,https://www.pro-football-reference.com/boxscores/200909270sdg.htm
2009,2009-09-27,LJmHetie5VbbO,Indianapolis,Colts,IND,31,126,0,24,35,,379,4,1,130.536,379,505,0,0,1,0,1,7,69,22,3,11,0.273,1,2,0.5,1902,https://www.pro-football-reference.com/boxscores/200909270crd.htm
2009,2009-09-27,GJizlkzQFaqGA,Arizona,Cardinals,ARI,12,24,0,32,54,,339,1,2,68.364,299,323,4,40,3,1,3,5,35,21,4,14,0.286,1,2,0.5,1698,https://www.pro-football-reference.com/boxscores/200909270crd.htm
2009,2009-09-28,jJBGuksuDJF5L,Carolina,Panthers,CAR,16,73,0,22,33,,220,1,2,70.265,198,271,3,22,2,1,3,6,60,15,1,8,0.125,1,1,1.0,1376,https://www.pro-football-reference.com/boxscores/200909280dal.htm
2009,2009-09-28,KdjU81i7YSFE7,Dallas,Cowboys,DAL,32,212,1,22,33,,255,0,0,89.836,237,449,2,18,0,0,0,9,80,24,5,13,0.385,0,0,0.0,2224,https://www.pro-football-reference.com/boxscores/200909280dal.htm
2009,2009-10-04,n8CuHV9wbYCqF,New York,Giants,NYG,33,156,0,20,36,,292,3,1,98.38,273,429,2,19,1,1,2,8,54,21,6,15,0.4,1,2,0.5,1875,https://www.pro-football-reference.com/boxscores/200910040kan.htm
2009,2009-10-04,oiGiwWPf0UqMC,Kansas City,Chiefs,KC,25,124,0,15,32,,127,2,0,78.516,88,212,5,39,5,1,1,7,55,15,2,15,0.133,3,4,0.75,1725,https://www.pro-football-reference.com/boxscores/200910040kan.htm
2009,2009-10-04,QMAZH1v922YLu,Tampa Bay,Buccaneers,TB,30,129,0,13,22,,106,1,1,67.614,100,229,3,6,1,1,2,5,40,12,2,13,0.154,0,0,0.0,1864,https://www.pro-football-reference.com/boxscores/200910040was.htm
2009,2009-10-04,9JtBk8kFeaGEs,Washington,Football Team,WAS,35,125,0,12,22,,170,2,3,70.455,152,277,3,18,2,1,4,4,40,14,4,14,0.286,1,2,0.5,1736,https://www.pro-football-reference.com/boxscores/200910040was.htm
2009,2009-10-04,FCuH1wdksA2DQ,Detroit,Lions,DET,26,90,2,30,47,,350,1,1,84.53,308,398,5,42,2,1,2,7,51,25,7,17,0.412,0,1,0.0,2190,https://www.pro-football-reference.com/boxscores/200910040chi.htm
2009,2009-10-04,1vVmWGzUZ1rea,Chicago,Bears,CHI,20,151,3,18,28,,141,2,0,100.446,125,276,2,16,2,0,0,3,36,14,2,10,0.2,1,1,1.0,1410,https://www.pro-football-reference.com/boxscores/200910040chi.htm
2009,2009-10-04,LZoDld8s63xUs,Las Vegas,Raiders,LV,22,45,0,12,33,,128,0,0,48.548,120,165,3,8,3,3,3,9,60,8,2,15,0.133,1,2,0.5,1547,https://www.pro-football-reference.com/boxscores/200910040htx.htm
2009,2009-10-04,UI0Ax4HUEXFh6,Houston,Texans,HOU,41,120,1,11,22,,224,1,1,82.386,209,329,4,15,2,1,2,1,5,16,3,16,0.188,0,0,0.0,2053,https://www.pro-football-reference.com/boxscores/200910040htx.htm
2009,2009-10-04,zyhFXj1nywrm1,Baltimore,Ravens,BAL,17,116,0,27,47,,264,2,1,78.679,247,363,2,17,1,1,2,9,85,24,9,14,0.643,0,2,0.0,1504,https://www.pro-football-reference.com/boxscores/200910040nwe.htm
2009,2009-10-04,VkxV91RtzHn65,New England,Patriots,NE,30,85,2,21,32,,258,1,0,100.781,234,319,3,24,2,1,1,5,41,25,4,10,0.4,1,1,1.0,2096,https://www.pro-football-reference.com/boxscores/200910040nwe.htm
2009,2009-10-04,22ZdibiqvfA2D,Cincinnati,Bengals,CIN,30,154,0,23,44,,230,2,1,73.106,221,375,2,9,2,1,2,6,46,21,5,18,0.278,3,3,1.0,2161,https://www.pro-football-reference.com/boxscores/200910040cle.htm
2009,2009-10-04,IR4gIYmh269EI,Cleveland,Browns,CLE,33,146,1,26,48,,269,1,1,68.837,249,395,2,20,1,1,2,5,44,22,6,19,0.316,1,1,1.0,2335,https://www.pro-football-reference.com/boxscores/200910040cle.htm
